Country Name,Year,Indicator Name,Value
Eswatini,2023,"Charges for the use of intellectual property, payments (BoP, current US$)",53547596.01
Eswatini,2022,"Charges for the use of intellectual property, payments (BoP, current US$)",17039370.06
Eswatini,2021,"Charges for the use of intellectual property, payments (BoP, current US$)",18885076.63
Eswatini,2020,"Charges for the use of intellectual property, payments (BoP, current US$)",32785514.01
Eswatini,2019,"Charges for the use of intellectual property, payments (BoP, current US$)",7837969.986
Eswatini,2018,"Charges for the use of intellectual property, payments (BoP, current US$)",5333009.918
Eswatini,2017,"Charges for the use of intellectual property, payments (BoP, current US$)",3173476.842
Eswatini,2016,"Charges for the use of intellectual property, payments (BoP, current US$)",1097572.648
Eswatini,2015,"Charges for the use of intellectual property, payments (BoP, current US$)",1424807.333
Eswatini,2014,"Charges for the use of intellectual property, payments (BoP, current US$)",1811254.776
Eswatini,2013,"Charges for the use of intellectual property, payments (BoP, current US$)",2006990.404
Eswatini,2012,"Charges for the use of intellectual property, payments (BoP, current US$)",2362605.013
Eswatini,2011,"Charges for the use of intellectual property, payments (BoP, current US$)",2678419.115
Eswatini,2010,"Charges for the use of intellectual property, payments (BoP, current US$)",16308752.91
Eswatini,2009,"Charges for the use of intellectual property, payments (BoP, current US$)",116340361.5
Eswatini,2008,"Charges for the use of intellectual property, payments (BoP, current US$)",119690735.9
Eswatini,2007,"Charges for the use of intellectual property, payments (BoP, current US$)",120988053.8
Eswatini,2006,"Charges for the use of intellectual property, payments (BoP, current US$)",106405636.6
Eswatini,2005,"Charges for the use of intellectual property, payments (BoP, current US$)",105433147.2
Eswatini,2004,"Charges for the use of intellectual property, payments (BoP, current US$)",75601431.49
Eswatini,2003,"Charges for the use of intellectual property, payments (BoP, current US$)",71181077.94
Eswatini,2002,"Charges for the use of intellectual property, payments (BoP, current US$)",54075391.24
Eswatini,2001,"Charges for the use of intellectual property, payments (BoP, current US$)",42800355.47
Eswatini,2000,"Charges for the use of intellectual property, payments (BoP, current US$)",35064844.3
Eswatini,1999,"Charges for the use of intellectual property, payments (BoP, current US$)",39902059.38
Eswatini,1998,"Charges for the use of intellectual property, payments (BoP, current US$)",39254313.54
Eswatini,1997,"Charges for the use of intellectual property, payments (BoP, current US$)",39269640.91
Eswatini,1996,"Charges for the use of intellectual property, payments (BoP, current US$)",14591045.66
Eswatini,1995,"Charges for the use of intellectual property, payments (BoP, current US$)",15574490.26
Eswatini,1994,"Charges for the use of intellectual property, payments (BoP, current US$)",13428811.08
Eswatini,1993,"Charges for the use of intellectual property, payments (BoP, current US$)",11474591.56
Eswatini,1992,"Charges for the use of intellectual property, payments (BoP, current US$)",11921399.41
Eswatini,1991,"Charges for the use of intellectual property, payments (BoP, current US$)",9995237.776
Eswatini,1990,"Charges for the use of intellectual property, payments (BoP, current US$)",9314654.638
Eswatini,1989,"Charges for the use of intellectual property, payments (BoP, current US$)",6748828.249
Eswatini,1988,"Charges for the use of intellectual property, payments (BoP, current US$)",6070022.994
Eswatini,1987,"Charges for the use of intellectual property, payments (BoP, current US$)",4764165.616
Eswatini,1986,"Charges for the use of intellectual property, payments (BoP, current US$)",568919.9056
Eswatini,1985,"Charges for the use of intellectual property, payments (BoP, current US$)",583306.2247
Eswatini,1984,"Charges for the use of intellectual property, payments (BoP, current US$)",203351.5729
Eswatini,1983,"Charges for the use of intellectual property, payments (BoP, current US$)",1884929.54
Eswatini,1982,"Charges for the use of intellectual property, payments (BoP, current US$)",1381449.74
